real,pred
-0.52710485,-0.56783456
-0.52710485,-0.54772604
-0.52710485,-0.5812848
-0.52710485,-0.5742928
-0.52710485,-0.5705866
-0.52710485,-0.5674528
-0.52710485,-0.51658845
-0.52710485,-0.4666334
-0.52710485,-0.46954003
-0.52710485,-0.44481733
-0.42435083,-0.42420688
-0.17638566,-0.3630766
-0.17439239,-0.3763112
-0.27555177,-0.33398148
-0.3289719,-0.3898858
-0.36485115,-0.45402154
-0.45245615,-0.44674236
-0.52351695,-0.4861602
-0.52710485,-0.5207043
-0.52710485,-0.5072753
-0.52710485,-0.5570428
-0.52710485,-0.56467277
-0.52710485,-0.5767521
-0.52710485,-0.56643564
