real,pred
-0.52710485,-0.3578395
-0.52710485,-0.5538504
-0.52710485,-0.28427532
-0.52710485,-0.24737793
-0.52710485,-0.2174038
-0.52710485,-0.25618908
-0.52710485,-0.81390274
-0.52710485,-0.76357025
-0.52710485,-0.7351722
-0.52710485,-0.45704645
-0.42435083,-0.42173237
-0.17638566,-0.21201819
-0.17439239,-0.1378096
-0.27555177,-0.09590479
-0.3289719,-0.057269335
-0.36485115,0.19386336
-0.45245615,0.31640574
-0.52351695,0.022627113
-0.52710485,-0.058459654
-0.52710485,-0.17999355
-0.52710485,-0.23411232
-0.52710485,-0.41546682
-0.52710485,-0.47624096
-0.52710485,-0.52122074
